"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-08","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.43","","","","2"
"2019-09","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.48","","","","2"
"2019-10","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.41","","","","2"
"2019-11","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.43","","","","2"
"2019-12","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.58","","","","2"
"2020-01","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.34","","","","2"
"2020-02","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.41","","","","2"
"2020-03","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.49","","","","2"
"2020-04","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.59","","","","2"
"2020-05","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.71","","","","2"
"2020-06","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.62","","","","2"
"2020-07","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.67","","","","2"
"2020-08","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.78","","","","2"
"2020-09","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.64","","","","2"
"2020-10","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.57","","","","2"
"2020-11","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.67","","","","2"
"2020-12","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.62","","","","2"
"2021-01","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.58","","","","2"
"2021-02","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.90","","","","2"
"2021-03","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.81","","","","2"
"2021-04","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.90","","","","2"
"2021-05","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","4.02","","","","2"
"2021-06","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.96","","","","2"
"2021-07","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.85","","","","2"
"2021-08","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.79","","","","2"
"2021-09","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.87","","","","2"
"2021-10","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.69","","","","2"
"2021-11","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.80","","","","2"
"2021-12","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.65","","","","2"
"2022-01","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.85","","","","2"
"2022-02","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.94","","","","2"
"2022-03","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.80","","","","2"
"2022-04","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","4.10","","","","2"
"2022-05","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.86","","","","2"
"2022-06","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.93","","","","2"
"2022-07","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","4.30","","","","2"
"2022-08","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","4.25","","","","2"
"2022-09","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","4.29","","","","2"
"2022-10","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","4.29","","","","2"
"2022-11","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","3.90","","","","2"
"2022-12","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","4.33","","","","2"
"2023-01","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","4.16","","","","2"
"2023-02","Manitoba","2016A000246","Tea (20 bags)","Dollars","81","units","0","v1353834592","7.64","4.30","","","","2"
"2018-02","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.18","","","","2"
"2018-03","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.17","","","","2"
"2018-04","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.15","","","","2"
"2018-05","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.17","","","","2"
"2018-06","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.23","","","","2"
"2018-07","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.22","","","","2"
"2018-08","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.19","","","","2"
"2018-09","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.15","","","","2"
"2018-10","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.07","","","","2"
"2018-11","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.27","","","","2"
"2018-12","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.32","","","","2"
"2019-01","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.24","","","","2"
"2019-02","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.33","","","","2"
"2019-03","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.12","","","","2"
"2019-04","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.02","","","","2"
"2019-05","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.04","","","","2"
"2019-06","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.11","","","","2"
"2019-07","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.05","","","","2"
"2019-08","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.10","","","","2"
"2019-09","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.04","","","","2"
"2019-10","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.09","","","","2"
"2019-11","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.12","","","","2"
"2019-12","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.09","","","","2"
"2020-01","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.10","","","","2"
"2020-02","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.16","","","","2"
"2020-03","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.11","","","","2"
"2020-04","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.27","","","","2"
"2020-05","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.16","","","","2"
"2020-06","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.00","","","","2"
"2020-07","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.02","","","","2"
"2020-08","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.08","","","","2"
"2020-09","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.09","","","","2"
"2020-10","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.08","","","","2"
"2020-11","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.14","","","","2"
"2020-12","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.17","","","","2"
"2021-01","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.23","","","","2"
"2021-02","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.29","","","","2"
"2021-03","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.24","","","","2"
"2021-04","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.19","","","","2"
"2021-05","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.06","","","","2"
"2021-06","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.06","","","","2"
"2021-07","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.06","","","","2"
"2021-08","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.12","","","","2"
"2021-09","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.14","","","","2"
"2021-10","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.30","","","","2"
"2021-11","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.43","","","","2"
"2021-12","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.65","","","","2"
"2022-01","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.63","","","","2"
"2022-02","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.88","","","","2"
"2022-03","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.95","","","","2"
"2022-04","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.99","","","","2"
"2022-05","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","4.01","","","","2"
"2022-06","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.95","","","","2"
"2022-07","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.91","","","","2"
"2022-08","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.89","","","","2"
"2022-09","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.89","","","","2"
"2022-10","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.83","","","","2"
"2022-11","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.83","","","","2"
"2022-12","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","4.05","","","","2"
"2023-01","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","3.92","","","","2"
"2023-02","Manitoba","2016A000246","Ketchup, 1 litre","Dollars","81","units","0","v1353834593","7.65","4.00","","","","2"
"2018-02","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","9.06","","","","2"
"2018-03","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","7.52","","","","2"
"2018-04","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","9.32","","","","2"
"2018-05","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","9.26","","","","2"
"2018-06","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","9.13","","","","2"
"2018-07","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","9.14","","","","2"
"2018-08","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","9.50","","","","2"
"2018-09","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","9.34","","","","2"
"2018-10","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","8.08","","","","2"
"2018-11","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","9.76","","","","2"
"2018-12","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","10.33","","","","2"
"2019-01","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","6.94","","","","2"
"2019-02","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","9.23","","","","2"
"2019-03","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","6.90","","","","2"
"2019-04","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","8.83","","","","2"
"2019-05","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","4.76","","","","2"
"2019-06","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","8.03","","","","2"
"2019-07","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","7.97","","","","2"
"2019-08","Manitoba","2016A000246","Vegetable oil, 3 litres","Dollars","81","units","0","v1353834594","7.66","7.82","","","","2"
